entry_id,parl_id,source_id,details,start_date,end_date,location,num_nights,rate,spouse,amount,source_pdf,source_pagenum
P37_ALBANESE_Anthony_5_15,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Sittings of Parliament",2015-09-13,2015-09-13,Canberra,1,273.00,0.00,273.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_16,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Shadow Minister - Official Business",2015-09-14,2015-09-14,Perth,1,411.00,0.00,411.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_17,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Sittings of Parliament",2015-09-15,2015-09-16,Canberra,2,273.00,0.00,546.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_18,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Shadow Minister - Official Business",2015-10-01,2015-10-02,Melbourne,2,379.00,0.00,758.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_19,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Sittings of Parliament",2015-10-11,2015-10-14,Canberra,4,273.00,0.00,1092.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_20,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Sittings of Parliament",2015-10-18,2015-10-21,Canberra,4,273.00,0.00,1092.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_21,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Shadow Minister - Official Business",2015-10-29,2015-10-29,Melbourne,1,379.00,0.00,379.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_22,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Sittings of Parliament",2015-11-08,2015-11-11,Canberra,4,273.00,0.00,1092.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_23,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Sittings of Parliament",2015-11-22,2015-11-22,Canberra,1,273.00,0.00,273.00,P37_ALBANESE_Anthony.pdf,5
P37_ALBANESE_Anthony_5_24,ALBANESE_Anthony,P37_ALBANESE_Anthony,"Sittings of Parliament",2015-11-24,2015-11-24,Canberra,1,273.00,0.00,273.00,P37_ALBANESE_Anthony.pdf,5
